index	name
8103	Left-AV
8104	Left-CeM
8105	Left-CL
8106	Left-CM
8108	Left-LD
8109	Left-LGN
8110	Left-LP
8111	Left-L-Sg
8112	Left-MDl
8113	Left-MDm
8115	Left-MGN
8116	Left-MV(Re)
8118	Left-Pf
8120	Left-PuA
8121	Left-PuI
8122	Left-PuL
8123	Left-PuM
8126	Left-VA
8127	Left-VAmc
8128	Left-VLa
8129	Left-VLp
8130	Left-VM
8133	Left-VPL
8203	Right-AV
8204	Right-CeM
8205	Right-CL
8206	Right-CM
8208	Right-LD
8209	Right-LGN
8210	Right-LP
8211	Right-L-Sg
8212	Right-MDl
8213	Right-MDm
8215	Right-MGN
8216	Right-MV(Re)
8217	Right-Pc
8218	Right-Pf
8220	Right-PuA
8221	Right-PuI
8222	Right-PuL
8223	Right-PuM
8226	Right-VA
8227	Right-VAmc
8228	Right-VLa
8229	Right-VLp
8230	Right-VM
8233	Right-VPL
