FrameTimesStart	FrameTimesEnd	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	11.121153747659706	8.27806309930258	0.8339035047561323	15.71920473607945	18.13115859596181	27.563047347154722	10.919804760102535	17.18544142373136	31.72338161601106	31.675364239795883	2.4138792075575912	7.260865819560649	4.092379649645536	3.5548806319485076	0.4686680855974307	4.527655701989963	10.367530870920588	1.2709550261497498	12.993373205581234	11.201408892516268	12.443044509420808	0.5349976228633964	26.327205048406356	17.45038953941273	1.8136446983180636	4.275486135001541	9.482271789405377	30.866134040097137	5.893446368660285	6.371605140991036	0.7526081031725272	1.7299360396923795	0.5612125527113676	10.489462453544425	1.3781068635518572	8.51793060541581	6.0381648116180076	4.772197432366685	22.0099032445572	11.813048753295758	3.4760727633338395	4.240187306075885	11.557633655945393	10.246656281882881	3.8350900190554684	32.32538947016645	14.700510748142467	5.047469659875903	15.621044593586118	3.3019234998727796	7.14956693099792	11.081464148482432	6.418624782147412	11.960725329249163	6.698158631080544	26.515186923535317	16.277617228272415	2.803765752285661	6.007320713795823	5.294618317186569	13.442468278284895	18.302283375517423	6.031694424687278	6.770021081300706	8.803258486358956	10.066048464732642	3.2638648167442628	9.021440649442107	6.998398961331288	10.941834286964582	6.81319066007165	1.7932405022551	8.630003399244563	12.468384422372013	21.73796869789598	3.297704141778886	5.199154652864232	7.482728738642666	2.78790861393037	29.656656310681687	18.09456445636795	4.610819739781405	27.696984225129775	47.446688935232906	6.111022918942767	10.409315391962842	9.943171079191425	15.704079667607715	12.960877318459408	13.709750355613854	5.448064370083101	8.748798677942625	9.098842707015498	18.76351064815862	3.205607463408109	24.126863316976717	5.469070976789696	21.217089134180256	16.301289104286013	6.7768537597849186	8.312434460646323	7.7684707761673435	13.282134369349107	22.008417964169166	11.38679769415837	15.779082334605626	6.900593861482597	8.550329886023027	8.944131691388538
30	60	877.3203757684525	638.7214594976027	1041.0691037429006	708.6188230455493	1064.3243311300173	1222.777056689727	742.3984893640089	1639.0678335525959	1243.085086233086	797.716172944674	712.299080182174	1277.649710831472	866.3434289531667	1522.192568012895	1611.7611945443095	1261.4795025860822	1020.1596083919504	988.9711456298828	653.0598331424615	875.460361901004	552.9520149437232	656.7970003240249	682.4025075078584	1010.1031377249676	1147.203828940324	921.0757003952889	1209.074571841964	771.8210961941511	997.0664059865987	1066.8036236284713	1095.86259451088	992.7291085918469	863.3877716064453	657.1871291051027	1702.7633737032531	271.00175795675267	217.97381682445302	981.5017599549635	810.919282647156	1370.2432385208263	95.7216792026984	1342.385424767993	1578.29003464024	1354.290001176397	1721.6203405868605	986.6555171278925	1037.9445882074453	1131.190432789372	958.7419903202506	1124.331684439614	1146.0958487463854	1186.469994705576	1353.258436504953	1221.8399537860748	1059.28106465547	1037.1491087435245	1262.4737670316515	1296.8579143534134	907.3296060292092	1292.8135937565876	1512.6954340069606	1301.6314352287088	1415.5518517260077	1378.7575289621939	1338.6736440102702	1532.0311017639433	1205.6047163753924	1295.4624331319878	1285.2505112939195	1415.800712853582	1304.8199208617398	1022.2233384923945	1461.3800424429087	2264.308821097632	1466.7381535482598	1659.5711375650158	1659.2756374014211	1183.5058836568676	1764.6910085722875	1283.4394609681144	972.3167995643175	1177.0369612072568	942.5436547800145	1260.1553741171022	1104.04581774055	1231.5368114077082	1429.4615664282976	1288.5432639583698	1117.694697080943	850.4294174122076	1473.9203901424326	1246.1928327505393	1218.1888387519816	1107.1148075247847	1853.1132134193815	1260.8527079816192	1274.4347446834172	1111.436908573666	1346.1733244052384	1736.2682128217698	1141.6345090133536	1321.1824681552348	1276.3610729847132	1414.9536698725683	1346.914913194531	1223.630725008437	948.4864709282494	2087.710408726445	1600.7584200784852
60	90	6571.507749863752	4743.529325088509	8332.002081620065	6862.524332754256	9011.077523021646	9823.056191917221	8228.99535504206	11148.704451409345	8036.567282358806	7771.03609900415	6046.871446256743	8129.0804284456035	9197.378373527416	8329.333180398764	10706.09739360127	10494.874064670139	8006.31962339101	7818.46728515625	6283.473494447087	6505.685129639636	4485.84709223587	6338.498077392578	6800.7901443634255	9019.187802368879	10002.557726439765	7757.0555717449515	10447.528231224474	8173.456571115788	8047.773436021256	6932.1826711111635	9413.386015984472	8547.014733874597	6389.494689941406	7236.195612273423	6820.961966092469	1909.224036212706	1496.822235492495	7756.789786904442	7371.766819339557	9052.741829468727	788.6204720392303	10067.988938032315	9408.269793398387	10163.957323424143	12331.499903877	7349.877507942429	8386.252131540588	9016.919766677911	8021.34108323642	10273.20598668346	9540.65405794919	8835.283904129667	11487.399446550568	10286.749868364726	8515.466272953296	8682.373801933036	8198.114726098487	9526.293593449791	8748.777547594687	9952.05006343532	12216.726345915331	9295.332304929132	9784.276566915401	9245.327424435289	9579.912194725226	10494.146664579246	9487.497248217698	9458.59594840407	9057.204414261065	9917.927675088627	8788.521276644673	9835.144690082307	8425.32519260468	13155.156642375658	10568.108852969488	9525.440587147714	10838.21308929814	9513.603323173651	12596.140357648823	7450.430778003394	7976.791946613003	9031.434163743404	8110.59508805516	10499.073421810186	9202.288303210751	9123.15181119112	11379.13204207812	9888.269893815315	8650.658673337499	8427.456564550243	10162.587151806156	9344.760337343261	9210.465032710874	9676.066803572334	12432.91433134238	9167.925194259527	10686.815453751977	9001.23932883401	10053.046694832365	9889.922953468094	9306.843105180504	9839.345960615308	9329.818659946268	9668.19527401166	8822.132830235381	9838.760715284448	7991.322214888124	12987.41825177228	9563.024992473338
90	120	14793.276383830082	10615.523021254956	15671.949135228208	15650.765485301275	20187.516135889673	21906.271840982896	18297.58012815954	23819.61166659981	17596.14783435398	17560.602755214244	13117.357195953824	16532.767963570663	17229.384929149997	17746.39360508459	21551.999914737942	19980.61746383102	18152.573135829207	21590.74560546875	14930.563629793618	14789.966747968589	9476.523717768861	13889.525559369256	15355.491283352883	20198.37630779703	21780.372341151855	17522.068766555974	24130.908162434895	18026.85959378833	17566.213746817743	16582.87622020841	21839.719986579756	18750.97991791832	21382.022705078125	15192.43005532015	15317.66224545338	3921.4770204332654	3169.0646853828234	20265.83050519999	16929.54643578542	18427.900989712027	1724.9459318177544	21917.766038718062	19879.491411094565	22317.93242041078	25656.308963794065	16259.764908295332	19098.809693810457	20339.839793813968	18359.10258958745	21441.85222661151	21447.732183904893	20163.411311719698	25253.318023451582	21952.817314676086	18768.020531924285	17347.211804272534	20707.52420708864	21120.982854725487	20146.30647289202	21108.583589121525	27404.274807056798	19683.09011251458	22419.020356723	21115.722051360157	21039.529505625753	21701.11322826163	21252.124253736285	20977.185528927752	20857.150302619157	20288.941033061154	20225.372251645364	21897.039994999344	18315.53794914887	26090.025307659052	21813.96878339989	21028.157849778097	23084.019415714265	21832.569478339203	26055.521070023657	15844.870362618509	18455.872869851562	20019.52455319545	17421.400072153356	23182.569595985304	21286.320150128628	20347.137283816908	24243.188799524916	22315.283689084197	19580.758529742765	17312.67809836998	21320.071328810656	20606.802448679686	22268.329716082317	22229.462149354076	28604.48677216134	19601.82212647835	23140.527653011053	19876.129685110303	22848.507460252935	22912.565946691175	21044.31062397204	21609.407659291075	20421.480485383043	20736.65041278922	19614.427154846126	22683.862860317888	16840.439459813784	28316.451733398437	20784.09339270318
120	150	22978.963225475007	14566.584992155878	24014.31672106291	24103.257573756673	31118.15811161905	33264.48049197596	28553.92630470782	39558.866270931714	31150.146036783855	25922.39625713855	20861.519863319274	24440.35345971821	25883.14225719166	24613.068954155762	29050.311421954855	31420.383585069445	27594.763229669188	29252.6982421875	20627.967652224823	22795.649629528463	14274.73478882452	21929.170948701747	23138.670819751092	30674.245549950007	33782.76831466459	29432.930736284936	38807.41230726872	28941.365011993432	26025.505985955482	22789.295107886905	31333.734451687116	26761.347202977595	35982.560791015625	21792.472343602873	16948.36049564549	5360.699857509753	4576.347764902689	31001.323427957297	24913.207377965882	26645.396916758367	2564.644887806786	34215.15025206663	29109.774843699004	35366.6585059683	40429.35583024324	24505.47214072559	28635.343448673524	30886.454089921463	28847.077322088007	33439.52151623275	34099.898912027435	30722.277475860017	38073.7086489317	32684.69110320348	29769.777597450982	26411.910214719115	30232.33868371952	30981.258143514857	31212.981422754052	32305.025996680328	45121.03322166733	31261.853438937505	33657.99334309321	32918.92262351414	33245.9835291078	29980.588113526486	32434.230012137898	31756.501382116752	31474.394371826234	30407.505544903957	31905.922178163633	34849.6810145183	25492.96048992341	41337.043513737335	31248.627981394446	31946.28939508777	34242.55184040078	32775.642364809384	40143.68891154545	23567.554231736423	28467.269424810733	30219.177482854495	27404.198202118434	33971.96087426649	32643.470340753927	29786.28301632186	38212.24753082741	32307.580675356963	29708.958972680455	25312.8213033217	33429.07264025137	31785.488333015895	34047.876440760505	33637.675070345285	45342.81512612378	31285.91025658554	37484.87698824613	31318.7327315984	35130.950881871926	30796.43718365985	32500.062518811214	33124.93952697431	30704.1631593663	30123.68763192987	30303.02762408846	32657.187296488475	24786.763291756284	38807.8746021412	29709.854451918392
150	180	25413.38202561491	16495.9433536476	25484.92517732319	26987.29233150328	34558.23970745206	37042.3083543439	32324.48524666775	41379.8063132536	32333.96664598253	29692.846254034834	22331.18848796946	25921.176409137264	28627.314631846068	25595.259921095272	30121.613013402362	39870.78274594907	29738.86349002008	33967.275390625	24493.228831235363	25082.937620074623	15291.37563992303	25614.795481962316	26048.08217824576	34091.16069847174	37535.255676335946	30795.64480238406	41640.982372401566	33524.40365727847	29605.35931979356	25332.13506690492	33654.27698547738	29686.045162960836	28093.240234375	24131.13564103696	15111.227290919569	5059.018377500066	4774.285996595543	33997.895062356074	28037.176823125053	27743.22316767626	2729.380621311377	36955.757306801104	31111.804903593136	37928.36171132177	42783.73514103544	26319.727458380836	31849.835845917245	34347.11129866113	32063.19006153492	35026.725445028234	38740.89459972821	33002.08938471699	42685.86540049625	36057.886477240296	32951.42682515679	29697.030383410754	33456.50229197601	34471.062832388365	34458.424852715165	36573.44847177822	48890.406464266875	34309.82473907823	38629.39800147916	35549.364716390264	36794.73857575314	33647.839414588	36584.58943398249	35429.37782620062	35051.25613630332	32135.21324644661	34608.44696629403	36067.0096529053	25882.552997120976	42049.24960876608	33089.38483270428	34573.303085955165	36195.56316290275	36360.04421781869	43240.49017591879	24558.990678267044	31239.897409969923	33886.23475277868	30625.737638983523	35250.960973068846	37321.79883167308	33651.359048094506	41529.381017996806	34639.44136538187	32963.947400520214	29617.83795999408	37256.9486324647	33129.02920251691	36866.64656509358	36808.09285578024	48951.03103810062	33497.48794385797	40175.30356297349	34352.07210450457	38599.114654134406	31674.745043217416	36526.51802560039	36099.583257195955	33794.56128862761	32325.16483866982	33172.41249877436	37960.731200073795	27181.956675602447	41176.65579427083	32034.001236481294
180	240	25811.10437482493	16574.05947786738	25982.739341334294	27716.02787026074	35109.69809650226	37324.55747628331	32317.254244300635	42011.79521056356	34033.94140201145	30045.10324626667	23724.32673271719	27104.85475458815	29855.623865169004	26250.911529808454	29453.395998589225	36762.23330439815	30200.236440008397	24859.76611328125	24436.90196638978	25624.952456288258	15481.623328508022	25459.4133013557	26557.966649431306	34579.13515042043	38708.26282083638	30635.473438459765	42578.323313888126	33713.15495244149	28819.23261904086	27039.761085517985	35752.48516104295	30124.584245244227	35703.98681640625	23877.90598700859	14225.380795338115	4948.798420122402	4823.496499148397	34432.72021660367	29060.094552340855	27155.014122373184	2788.2605970668833	37090.202359406314	32668.352224165716	38034.509605810876	42314.29900562821	25851.9352592501	32792.469170661585	34372.475553503165	32579.6876937423	35852.20643493831	38789.31003835777	33642.06377772076	42538.88539490126	36199.14144406393	33249.207269766885	30502.190597580004	34256.314978191425	35398.52194665775	34504.93053744411	36440.527382244254	48288.105871530526	34488.91353009017	39018.10582198208	36084.45807459366	38322.900340138745	34687.37970939602	36419.23768171285	35319.225737774796	35353.51021488787	32787.87866097224	34572.5430409957	36177.8111268691	25065.820563890597	42641.38442462734	34062.86715312187	36074.44733276091	36718.66089427294	36621.52097281103	44256.738691016544	25887.694933127146	32331.08761231832	34110.00412099559	31332.950255900025	36768.16921840222	37430.9886089806	33652.01259360297	42195.03825163257	35012.97640237124	33506.763128010665	29343.71466724423	35847.23494687659	33923.465376916865	35984.03006595105	36895.31351754757	49161.294965524685	33833.400388199305	40670.36922842782	34703.31070451464	38151.39272043047	32504.698724566882	36349.332207265084	35950.32089983874	34037.04752344529	32831.044401825035	33613.771123227605	36128.427489136295	25756.245308062564	39525.439836516205	31797.997975708502
240	300	25645.987876348714	16470.92874578592	25184.948627672697	28147.568705865036	34574.71447111058	37622.07975903597	31337.309562693026	41714.56994501306	32253.47135501438	28220.56509049553	22583.103428171642	26401.430636913905	28609.98459902256	26870.665328132607	28318.886669672327	37607.58729166666	29680.48834478872	29461.10595703125	23429.87625786739	25366.913706419513	15584.246131242397	26784.836727366728	26797.621743696727	34174.062399920425	37991.41889722822	31142.079376295686	41503.01446703492	33363.86658623135	29613.428178984013	26711.710276564085	35187.95417465491	30351.245916281343	29316.4130859375	23549.54353151483	15539.22316054047	4944.448680825542	4854.9929187751695	33880.05698713456	28621.84284014843	26224.377819174944	2893.690780488338	35530.48552339053	32864.551107620755	36023.04112258439	41219.643150145304	25594.52906426033	31631.075186453098	33923.44713644964	31737.136570762963	33757.39572060592	37706.25152014988	32704.819947061347	40597.08840307225	35182.753374714615	32914.32367718381	29860.31309312242	34196.24145179646	34746.037692526246	34481.770310608	35062.75225008065	45864.06064267702	34235.36055756415	37559.43867008125	35089.126883724966	37102.957939260086	33918.19631884109	35357.23329690002	34147.82762042336	34529.768788470894	32196.00212941624	34204.14715470774	34385.303068435205	25469.242822352975	42556.57370420889	32901.51763765786	34537.850037808115	35597.28963358918	35391.45405942406	41361.74262821394	24425.84590855411	32064.057154093716	33757.65946734274	30892.762711475625	35866.15957054963	37002.77443787199	32967.702805521316	40853.84091978974	35045.582533927976	32419.210906835815	28564.240102573745	35498.33497311037	32854.68269472713	35969.11449758638	35516.120358999426	47665.20733282964	32955.34781392013	38146.078080123	33867.3030283679	36909.0540916691	31654.294618125503	35949.33385014975	34615.69682910928	32975.85490444357	31911.591300326145	32887.961981264794	34785.70846241918	26424.90564703057	40425.822904007524	31950.206504969356
300	360	24827.994678794323	16545.343059484967	26404.04857113487	26826.038089657486	32855.34674388126	36089.813949062	28956.23918212573	38590.52938713495	30946.72399987115	28196.971755063492	21605.958784119484	26118.08340627804	29773.387514679976	25905.843376776258	26521.02264393899	33238.28888599537	29139.592123842885	29633.5986328125	23623.732979910714	24412.90286388319	14968.082986690024	25096.867761948528	26322.603379827495	32395.332763182414	37094.67281901927	29828.535811770576	39257.86454640751	32016.549350342397	29058.883036874748	26218.931761829564	34636.08596146473	30141.246431813244	28377.992431640625	23409.10362045374	14116.755619236681	4786.653740559078	4776.090428770639	32792.474617979075	28098.842918951235	25040.599147677178	2914.38455390354	35008.74419229083	31519.84084963487	34637.03781702122	39296.465094377454	26050.73634646174	30714.23160115262	32645.091177170467	30623.962189691527	32775.30025763933	35680.22883316779	31330.649327960946	39409.22807807635	33426.701345605026	31222.84630816916	27870.202109946862	31962.406287243084	32051.67970869123	31990.269455570044	33771.206246700494	43384.6262268839	32405.325181592707	35449.383205056736	33237.969509885545	34558.01426137624	31723.130400434417	33791.10646756981	32927.90519705008	32977.5461894206	30689.403096674865	32873.47539698722	31798.5315963569	25418.180343316748	38366.130777170205	31943.304994108203	32634.23857011109	34107.46102799567	34228.37160269057	39648.71649542437	24508.562159854817	31107.960514706163	31646.515016826834	29726.33639219679	33199.0257091638	35252.46733907774	30886.345026907708	39050.14782528606	33141.53718107999	30818.846509844632	28211.828130009988	34174.29913269524	31446.407372249636	33152.89420414126	34223.862225325494	43850.79501949157	31199.231515657637	36711.70083367154	32050.351232293488	34688.207104629924	31220.469758826046	33464.04930378826	32661.600495235394	32194.113731396956	30710.07964293233	31053.98009212634	33457.283829764805	25815.856045616856	36969.83980577257	29730.987752772857
360	480	23720.55870542862	15783.577554679756	27249.5263671875	25855.185715735748	31006.175407052775	34953.41244668748	26464.43612138329	36765.93181863768	30971.74915822347	26560.136119067465	22133.65719424278	25251.788937487694	29544.365500831864	25032.114079520903	27903.49096055819	32842.45066550926	28890.903786000013	27043.0693359375	24994.57240970799	23413.21255873017	15024.038566649862	26783.28188189338	25065.206241175776	30395.351385645135	35126.769446770435	26845.156834977734	36827.29401629612	31533.829955156376	29234.531506118452	25562.153600814494	31631.723732266106	27727.662919912178	26874.88916015625	23596.957599532132	13214.947361680328	4575.2530737273655	4695.281173196804	29844.497728524228	27050.617453027608	23246.474213552254	2944.3029520290856	32363.02995130887	30101.312763901355	31532.586513366532	37334.12093924555	23571.654280633884	28534.620562292497	30038.96765518063	28311.66480015587	30402.61418225246	33661.08930722651	29648.202778096187	36362.06088455885	31569.11976794378	29147.71732845905	26775.12628778681	30973.11690298726	30240.393268017255	30358.728809976365	31073.1029881621	39917.544496431634	30313.84568408111	33442.10400959798	31183.20518584322	32017.780963663758	30849.63356046805	31038.942959724445	30195.637495526582	30618.413579897864	28895.84083216633	30107.98067082715	30046.210364678973	23228.401304296178	36157.57774594457	30101.521903061497	30786.500719060947	31807.848510247975	30678.07962493179	37697.75985159001	22624.409385632764	29369.700961604107	29324.42363101999	27597.97393826654	30892.352263601526	32970.535857089286	29615.897870922556	36175.79484181162	31073.765540663044	28634.166906994098	25956.92089419828	31373.53495949663	29590.689733578198	31247.654248179202	31071.757791075986	42085.99409856257	29912.157319951733	34704.18970352564	29547.482465987323	32306.676605777742	29036.5395456663	30839.76769735916	29919.17337655538	29532.603168927464	28293.502482251737	29161.084138722148	30989.29188311118	23199.95870507747	35350.83321759259	28979.908679325516
