FrameTimesStart	FrameTimesEnd	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	2.3237212402217673	1.2493185894684744	60.20716677673838	191.1401182795393	0.20356235404809317	8.252033463621562	0.9967558746766142	20.32813559969266	4.652242858885508	65.01595359980419	52.059082483732574	1.5317106076649256	537.9101133505503	13.294580544146848	9.7302448821449	11.587298070416736	2.0943629921749376	2.830214615237573	0.5545074450118201	10.51788106956806	5.847160463395253	-0.8578267130586836	37.081942123860635	0.1944634997442434	0.7801680675981676	3.5476478149648756	2.269134630492129	0.19990426265904981	0.5221770959890911	0.20001028361338966	6.390835404396057	0.9065797810422012	6.5014364885887	0.8951344194488642	2.7170342683792112	0.13351643085479736	1.633873852214548	0.24295480771142725	0.7242895573286748	5.316956613670344	0.5409588806810868	0.4859388151581964	0.9357591712226471	0.3722428532195792	0.5767969614928068	0.5978705286979675	1.6109303971059123
30	60	1236.3274046985816	874.363793311181	1368.6205999200995	1217.8553283691406	1053.8170383998327	1323.1113719658865	1398.4279744124212	2186.5734888712564	1254.4566433445937	1263.0792638417836	2020.5748625724545	823.7447684151786	1425.976805826823	2231.237615991309	1305.4768621400344	777.7480604183039	1525.5863776554336	1197.7712172300078	806.656964983259	1005.3028960105701	988.8876150204931	800.6946885850695	1109.3347434584414	1624.3294244714684	757.7062686695772	1390.7392272949219	954.9252220061888	1537.7143042779737	1718.3452053762505	1212.0322778525472	1779.8616875542534	1252.9120505837834	1033.4045451956085	2360.310618313876	587.8814514160156	1322.8720703125	538.9040147431043	1358.4240090699323	2151.9325504954268	845.0639552403163	1232.857408700745	798.5024742771737	522.4877421061198	1186.115492928047	1085.0324282263905	821.02294921875	1080.47801493091
60	90	10167.896751025044	8769.222586495536	12041.008611505682	10508.071435546875	9843.528134300595	9222.342596273507	8600.333048844537	10268.647420247396	13632.562697637648	12501.793723716391	10562.361333375336	8241.43687220982	8044.862724609375	13068.824887440387	9959.294224654797	10596.35214612611	9890.609466754837	7262.808385548858	7971.347795758928	9290.312893598508	10258.077684120228	7261.681206597223	9370.331508154473	11759.723345782306	8399.067038143383	12774.458251953125	8085.885295086597	10425.17471018145	9814.040008444204	11276.667369682247	10422.625108506945	11383.06912949506	12155.33610736269	11350.84686834162	8002.879296875	9978.3623046875	7038.087472098215	12912.896734997235	9649.261401962653	11609.230902398383	10451.103829583619	9145.939911040501	7014.1590576171875	7817.127912663431	9133.924022819423	7395.85888671875	10567.777444596286
90	120	26628.261815713653	21326.796304281655	26130.975142045456	23761.32745150862	20896.650576636905	21494.680375990967	18553.001271993173	24120.794759114582	29100.393807132226	27087.752573374157	24329.400327620966	18848.53976004464	19520.7343359375	25890.174781155874	24693.247038517442	20780.07253143491	21146.221909276697	20091.453177050287	17567.433035714286	21787.892811310598	21711.82130102792	16429.97265625	20415.382935892372	27003.97807353252	20562.66459099265	23464.523193359375	23580.129769076306	20254.223979334678	20039.425903723186	17620.31501936712	27004.624565972223	26257.983549230237	25304.006789772728	25138.94160600142	17448.03671875	22371.3125	20799.25872927296	25747.734768217644	22614.480926067074	23420.778887128497	20835.644916360714	17478.66162352301	16657.048421223957	21738.43266980735	21981.57733283063	17556.80859375	21993.435550991177
120	150	34152.29051695479	28465.781858766233	36828.00870028409	34099.64142645474	28080.819382440477	31376.844919570427	29766.300141150212	32784.499674479164	42218.68508848852	38346.89618964668	37881.72028309812	28718.909598214286	28883.965481770832	43843.45953344629	32516.539734738373	36251.7571537537	35630.7988151904	26620.720306551397	28358.930524553572	31248.223141401242	34643.99958949399	25360.72265625	33270.0716363239	30119.2239099451	31337.430537683824	36476.233642578125	38892.019170431726	27348.45841733871	30026.49261293317	27651.490858061974	33466.63845486111	43544.75835104549	40172.424171401515	33059.94475763494	26650.67890625	38662.1328125	37404.90234375	40020.81854086007	33604.70761242378	33834.72724541084	31639.980804943647	26786.371409553794	28390.28271484375	32280.006267952653	35668.82462668117	27011.69921875	36050.46329195205
150	180	34996.49107934397	33462.43496347403	41901.39026988636	40359.25309806035	29195.820405505954	34770.86795377028	37991.961397058825	30643.675130208332	49855.75726775085	46088.963515273084	35665.03998655914	27475.442522321428	31491.161223958334	51620.05956639056	37109.07135719477	39500.01879160503	36316.99845269816	28220.27622342957	29188.84347098214	34538.65663812099	36998.53631413466	27549.970703125	37147.85123991708	34508.8095703125	33853.42743566177	41152.279296875	46408.09815041416	27427.480972782258	32330.8436146349	33551.02557116596	41369.202473958336	49656.72903980928	46518.88584753788	40694.48916903409	28565.351171875	48017.67578125	43723.222735969386	44189.683913509405	37160.28903391768	36119.92833533654	33732.90460282901	26726.30898729011	29115.126627604168	33084.36861133122	40783.467396410204	28970.853515625	41770.69026195337
180	240	33843.52442098848	34731.12921063312	39664.94069602273	41352.77945851293	30410.24488467262	38201.07564182338	34777.754497111346	36642.606119791664	48091.3509247449	44436.32642041455	43452.8785282258	31610.444196428572	32236.864869791665	45722.37442739709	41416.42051235465	41099.71094905695	37730.346345004655	29197.77263443845	33589.562220982145	34962.945500300484	38333.573452963006	29429.52517361111	36404.09710803531	36816.53736011402	36708.38246783088	40001.6669921875	44088.46495356426	31357.027847782258	33922.0685849835	35892.688780199576	40418.24175347222	50120.91545553768	45886.54079308712	41235.52450284091	30992.0203125	47754.25	37742.12292729592	45303.05439366704	36989.53391768293	38527.82318072552	34139.4688282673	30319.99610346704	34741.460286458336	37784.173360736924	41199.16328784283	28529.826171875	43014.50238738146
240	300	34233.15419991135	35495.61112520292	41042.57528409091	44631.58958108836	30652.226097470237	35492.24377189344	33851.16982339811	37705.692708333336	47429.80684656675	43699.872246269704	42490.125630040326	28715.86300223214	34124.18953125	48032.50221197289	41228.226662427325	39071.35279909393	38950.84704670685	31268.898298699238	31635.151227678572	35620.13662171975	38200.57560121642	28747.618272569445	38119.68446278486	32982.23751583615	33599.064935661765	39386.958251953125	44721.839451556225	28547.087197580644	34128.14482131807	32644.373801864494	41006.483723958336	47077.20034610524	42116.04946969697	38663.18563565341	28563.166796875	44706.015625	39500.76068239796	46404.81540376106	37583.53487042683	39309.09577141608	35810.030481557376	29178.454878925684	31563.852864583332	37427.67392098356	41272.867325537314	33447.6640625	41647.705681144624
300	360	34635.75490359042	31356.054154829544	36010.05433238636	39437.51243938578	29078.56956845238	34660.25825036873	37542.87864364496	31610.924967447918	47302.44828869047	42957.47456098677	36725.27070732527	27745.95675223214	32785.40729166667	45450.642429091364	37490.97559956396	35923.520259338016	36785.955066807226	29933.655040450507	27882.040178571428	33422.13251827925	37396.753992769205	27524.565755208332	35732.181654726985	34478.50868348817	33628.07302389706	37700.022705078125	42145.17328689759	27800.877331149193	34842.12517404084	30203.28326877626	38790.657552083336	45346.965920840994	41032.43162405303	41900.653275923294	27687.195703125	48242.50390625	40546.2909757653	42221.936385163164	37305.82804878049	39270.112707604894	34239.596884249775	29807.961573966106	29505.2177734375	37567.08979732072	40985.6853387889	32906.38671875	39979.53355094178
360	480	32644.417816378547	32259.6544237013	37749.212357954544	40777.62170662716	29232.964657738095	34572.62720662795	32091.757517069327	34672.656575520836	42564.81122448979	39766.63752595369	38691.61023605511	28357.51785714286	30959.2340625	44309.985645707835	36741.86419876453	39168.58084088388	36249.247725126756	29223.683251705268	29690.510881696428	32234.166697966746	35240.98718779453	27812.702473958332	35026.21510287398	32823.283203125	31581.098161764705	38008.40185546875	40828.080195783135	28165.3240297379	31148.737894492573	30902.086708902312	33791.578776041664	42742.6584185432	39280.22454782197	36323.745783025566	26773.9890625	40421.07421875	35835.32477678572	41303.72855883573	35783.42198932927	34916.90037696678	33209.63134498805	27952.938675761816	29331.5224609375	34021.68906930963	37490.099211745124	27578.560546875	38263.69004997036
