FrameTimesStart	FrameTimesEnd	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	1.224403662989908	0.6829894062041392	0.1267741609256183	2.6310413176851526	8.159026357441672	0.6126453694128671	7.7314139619018825	5.721372481172518	0.34218913434939524	1.7989097303840376	0.9398221730929736	0.8903837147529651	3.090566438896039	3.6777956356210884	0.11796070006609104	3.5373632178498275	1.1710891385166817	-0.02043289929861203	4.217827803386023	1.2831754467250893	0.742885736639629	0.1624576703449266	1.6221248915465445	9.831644525437003	0.22018808641353707	4.396451914744451	4.048547008576961	0.9426993061442979	4.649539177246164	6.072102369237267	0.1793039966662304	0.04371502077815495	-0.11989370756782591	6.053293172725294	-0.04047573038928186	0.006872358538975331	0.050242399002529255	3.5213336582440586	0.3946007253372572	2.0007483174373553	0.001728684178644413	3.8336119027506124	11.725895881762085	9.039998924497857	2.444294702446728	18.276303610105174	7.559873324200156	4.418864193060488	5.73083591880355	2.6917608372573647	4.311142382616279	4.317353308214772	4.900542156149073	5.6446336893825615	5.605788442543535	16.243682333369172	7.75791901709559	2.7381266846279773	5.423222818893978	4.492090701232455	5.646284778989965	10.99704478585468	4.374277992726982	4.220734674763651	5.409224965444873	7.095092257766942	2.6278323544172064	6.025736768156972	5.813592744307713	7.8830014916169935	6.084054533900818	1.5805168000425365	5.8349774876466975	12.066091332391078	14.346804137958236	2.133780948283189	4.789267048539034	4.1600128337102955	2.108689527197861	15.776543104712779	10.865350096230786	4.425111263562692	16.697146390946887	12.794879068641398	5.225004393002923	9.54376535718253	4.048102898250933	8.003069982105107	8.546714807533245	12.395286217446877	3.407037752458123	6.465004919889165	9.720089001126082	11.33480525074209	1.9349274600481068	8.295882611518342	5.249400624637523	7.952066183093729	8.552557144533326	6.079812679216429	7.698620514791534	4.669197182091869	5.932917087616536	13.880565127868307	7.804284275886625	9.192177943245566	6.770393244701505	7.540547640722421	8.671253749193271
30	60	238.5116347015741	100.7306005988382	929.023256253255	157.07137106263517	1037.7691481063403	395.42412489777723	794.5939495450654	1410.9181928003325	464.84711845112986	397.0924537195893	295.76075139018934	250.4403141207025	858.9813010489772	1432.8704459771673	824.615697222151	1218.969336050528	367.7910680782248	1587.8500366210938	447.67281915418	227.85404729934118	81.44501440849862	535.4222547795405	134.1809728663218	920.0655450949813	416.40394788295094	1018.3956480046015	831.6172262383994	35.077066557055204	1027.6355113442314	1082.4961733148937	1024.3103934311428	449.12874536703265	1204.039909362793	444.7306084768696	81.54318860319795	0.2652067948764494	6.467742041472521	978.9225368008143	45.3754830340748	370.29353679680065	0.5555534771505376	1474.3930681365287	1785.1089021543298	1621.7747375867903	1827.7572175746666	770.9627510265092	1092.0432499597302	1338.8718357060554	1077.9804595078162	1173.061924972952	1266.8614678881734	1301.5681380255576	1322.4067905721256	1242.7029472026215	1178.291784843969	1135.1625257115643	1302.3468755661006	1506.9539747039837	1071.4831643214259	1539.84156788601	1568.1699030248424	1460.8360751330333	1545.2155506251263	1566.7349591238374	1489.4360810084145	1690.6274232821613	1478.340929109168	1537.3876331103697	1511.9866796769204	1604.4146039910272	1519.9928713482009	1321.595708646404	1468.8834501857195	2346.4384835333167	1649.6944900644323	1864.7554723182343	1877.0412935530662	1422.6763282996385	1806.7667962585535	1111.408042612653	1058.6924397727719	1384.2765399945179	1027.2337329551651	1340.7618014799925	1284.1749894096458	1238.62205773907	1400.4995866755085	1403.720580678261	1247.8026012491473	930.0920447499713	1621.8900527337282	1487.0248583808784	1487.6763312249973	1291.163893273533	1981.2125797936317	1394.0195146140993	1417.3315296855878	1269.581455954441	1571.7084729230758	1750.6233498368122	1365.7033300729615	1507.7528008581496	1466.8690567086267	1524.627615773847	1597.3034320575484	1414.4828351233853	1000.430125362372	2433.252106331013	1693.6213388045628
60	90	1859.350359828959	760.5084846228528	6267.2742057097585	1905.8000281551713	9038.393545458664	2724.3193843334834	9154.637794548204	9079.998315764658	2153.506542726527	4438.804536361294	2449.681238262888	1907.3634703417176	9704.70605679234	8562.400452543257	5936.779034478752	10718.767448278357	3163.8602825250964	12852.18359375	5184.691926159261	1783.6831518431206	696.284215214259	5281.77937933978	1574.4707495187947	8712.009090311487	3538.860459025984	8686.495553032128	8087.98086752411	989.1590591926777	8461.47027228525	7156.4909450867735	9169.344024502572	3926.6272108078833	9254.163330078125	5422.316925882171	496.1354481353134	7.959949056864184	53.69157286072819	7823.898257382736	415.4036159987635	2885.28396334212	4.932628913096862	11348.394843564387	10398.924081349187	12676.775546604198	13879.305665840202	7623.535207382088	9203.389759160871	10826.113972586183	9118.358784002223	11701.612690777622	11150.764381970946	10122.433101242172	12175.197479051123	11502.987681310296	9610.058251509363	9738.048424514564	9230.566472335247	11255.089677453472	10624.176381170482	12142.971321100587	13978.503734556432	11352.338354651247	10694.054231240108	10905.705283124125	10665.7414819729	11871.844441312098	11824.303329977827	11375.127328754616	11306.912414387623	11656.62202081088	10368.051097077983	12554.031486519236	9585.524955621218	15108.251369080874	11966.567188459665	10565.178994477685	12263.018768322774	11815.063937787325	14470.530113793595	8229.978994987983	8772.060271746846	10891.703284520872	9215.978850046164	12132.65066470274	11004.102246857337	10331.105326543735	11975.790570851816	11155.097421717957	9888.346408323168	9342.133939604544	11906.909531167585	11090.229004640383	11235.972015304358	11700.722988920237	13883.112879963533	10982.626446429018	12173.799103860414	10638.905140200328	11785.20120037007	10731.756557418492	11308.819757758441	11787.252562240194	11636.933828513991	11280.634704105758	10428.857216879247	12005.55952567997	9231.214588003417	16048.265890831417	10761.859125477959
90	120	4172.239246321803	1681.5147895346524	12746.921715657962	4316.488977480675	20261.481772802876	6181.462733406596	20242.241225126785	19408.849896503372	4516.742304851496	10092.274438162667	4521.828334236749	4370.327481420567	17918.1583231181	18144.88835869467	17131.378155990293	20010.081857226338	6892.536149280725	37757.189453125	11826.161207103687	3996.858962290702	1420.9346242934766	11111.073385799633	3760.0127633413895	19515.734318435392	7232.439960734644	19524.100983187607	18772.149211894135	2098.8679266655763	18429.138563509256	17062.648059902946	21433.986356320995	8512.063228042147	37170.84765625	11187.31450423907	1090.5161184326548	14.788450320294915	119.82714265863125	20749.37215651786	1014.5948437294558	6338.8884127021465	11.139208551072516	24562.735538283905	21658.38117058657	27683.77052075555	30839.62310928308	17268.579116107056	20876.814290153536	24409.48437420854	20878.078078597002	24086.230607317164	25190.269921221556	23117.155774891242	27053.71148809985	24292.61686903026	21150.93530677671	19097.150902441674	23506.687895484774	24807.321142158715	24554.899569839727	25315.309107722725	31194.757249099795	23689.89935001594	24483.573792099996	24855.02446039428	23321.960767219105	24183.81178933045	26393.058839018722	25211.876282520505	26096.926074092094	23576.827632505312	23938.95760917308	27720.493584172797	20813.531403558285	29986.629602612134	24568.38946484182	23305.710225544164	25855.790332171277	27169.77499100632	30676.44542048011	18391.859422012312	20331.16821329645	23973.170959895833	19775.307873786573	26958.06205201776	25455.200740372158	23277.382357686598	26953.415616473278	25145.77441209311	22276.641725621033	18887.72793870548	25063.595447190935	24336.584201584938	27171.02962223456	26894.728350654263	32347.904946170267	23544.15455291195	26197.77432079931	23507.474552082895	26714.50781206958	24955.014406067436	25519.01829229717	25869.000378733268	25468.778193784576	23915.618961086584	23146.528043892744	27747.542794346275	19238.19545908226	34872.685972538704	23239.53447515808
120	150	6493.890111317967	2432.7121918809803	18099.871816685325	6789.632965897636	31339.738059907566	9361.780574602939	31564.399654109642	32592.31241551898	9695.465161559301	15306.833908124354	7615.431081011224	6468.085208786769	26868.91643331531	25228.492567853547	22211.451268538705	31616.011258318867	10598.782834421832	49053.4072265625	17707.376539750177	6169.6704934012805	2197.289055923055	17619.40324716007	5769.712675140771	29698.686606662108	10742.906479480785	33110.28707984718	30127.082740805265	2890.087321165503	27157.329580934318	23172.123006092137	30415.061881859903	11316.414262855888	66077.70361328125	16388.900703507403	1257.021458410826	19.41533020935472	178.07645047571117	31703.21866040121	1411.8073042238245	9507.985728059792	16.011776205728786	38599.13983942999	31510.47527502473	44049.33696527476	48832.45062048769	26140.313360206048	31200.28294781998	37090.080399170314	32795.435367632825	37516.65626481845	40118.91765385227	35250.01534017269	40947.131566873184	36258.597174638024	33646.08285333868	28970.943095611023	34230.50302396025	36259.312102088064	38055.94058521459	38786.97838590292	51815.33123528203	37966.65867100121	36740.54389962776	38929.12469796535	37000.35370931611	32837.89094152066	40203.20823586802	38047.26624090632	39165.90968403941	35277.07874579797	37808.38452093942	44243.68173835811	29417.994996988367	47867.067809249864	35023.29133542852	35130.494852122116	38267.67162727634	40659.10306788035	47070.52411862942	27251.699943155367	31235.64860400582	36247.68833728416	31060.039461745073	38824.33621261516	38893.592562754166	33894.84827828266	42409.85261996477	36433.08129839129	33831.03980728465	27469.15873217263	38816.119152317515	37735.88497331355	41756.235575391154	40733.95457740414	51331.36752081867	38002.70002540794	42624.96709590255	36828.154986460824	41044.46347707964	33161.81437758108	39451.4342068986	39669.86165625961	38386.2817937709	34591.5246469998	35690.900219682175	39514.80976164216	28283.567117234754	47047.25018796568	33109.05659885495
150	180	7218.407393186522	2771.0972264237776	18771.899551491988	7491.808262014187	34819.16835628963	10133.093342250033	35804.80755933506	34132.028172047365	8726.543637410738	17764.30070888333	8577.532006061576	6520.017580484042	29888.7433697769	26017.72075261485	22301.58769521701	40522.63488064236	10762.969246670255	58309.30078125	21704.922967816823	6839.238496416043	2267.6913853444107	21608.398607590618	6369.4863022771915	33206.693643513776	11920.959762692151	34619.84250985856	32110.0237934985	3912.168086792077	30968.604558872692	25772.52909719666	32480.768754493387	12544.068103018339	44914.57177734375	18257.177963660935	1022.2131113458852	15.9181027624412	187.67283276729398	34819.619319523146	1593.9790917591079	10210.781360002273	14.292796005715104	41717.365441099486	33928.744694244146	47146.0687058533	51505.20042224668	28214.905946821615	34847.23019459047	41219.23183726872	36632.31949151139	39023.60085726443	45838.825786707115	37950.91715078319	46267.08160204342	39962.67420414337	37381.481148915576	32679.172966901246	37628.52845337496	40381.277447124696	42135.202888363696	44018.72899411084	56163.69392227624	41832.21909319117	42162.93252569944	42041.71766757952	41046.51784691639	36924.946656795895	45526.94805997708	42650.717531817776	43693.08090047024	37207.93987863308	40935.52071074826	45806.98463251008	29964.976863925232	48135.21021706633	37168.64682940094	38198.06090109837	40384.66496580933	45383.28446068389	50753.33138369618	28230.607423612986	34519.372408605166	40712.14563102995	34875.45204883704	40186.73324591136	44864.594437035405	38648.749485393506	46131.64024958535	39010.679466800495	37605.08585567218	32486.624966604086	43959.602861622276	38949.23237506796	45229.65071818034	44504.295130440405	55773.795680486684	40478.89335596318	45587.55194797065	40638.195497970795	45205.02503520932	34121.86501108764	44457.00543188698	43181.03991333601	42252.10563515761	36982.51407406926	39101.16158029247	46148.658218775556	30937.91411497407	49803.9739360668	35728.18838079982
180	240	7233.329722106172	2758.014101170608	18880.537588345378	7785.699425368618	35360.608490073275	10214.894857164061	35698.06166536606	34116.64904750668	8515.992301855444	17976.40555123601	8972.58182930189	6937.178696989636	31106.222881576978	26721.169399666345	22260.221837301473	36928.69169632523	11191.68836301305	34693.01611328125	21126.08983413006	6886.0360840394715	2297.495036688787	20833.272651223575	6620.178203418172	33521.92804430904	11838.022000365014	34121.13940262103	32513.203093739157	3849.5817070281437	29862.742760061952	27361.592424046787	34678.61464808178	12382.635957728171	60701.9130859375	18269.26978090209	1050.5582153992575	17.943982832249823	186.47497937482402	35094.758348033385	1695.7201016730933	10166.160492900783	14.147747415453237	41528.76382317858	35670.60672331728	47131.06565332404	50653.520461778135	27642.77250275182	35812.0288325018	41010.01553046738	37046.78655266663	39655.64484680253	45664.53648641783	38460.95358193079	45900.62967037627	39844.933983480376	37527.38291676162	33452.448090836806	38512.457502142715	41472.582569084756	41871.07669130487	43614.74019178859	55296.901433856176	41932.99141765186	42503.42607955906	42554.81618756474	42669.74416049362	38101.446164939436	45034.56381135374	42269.42478006357	43856.95404696798	37926.29506358091	40754.57657834237	46130.311201481854	28871.698334531837	48644.31346818979	38138.40678758627	39624.1929336748	40902.212695191694	45301.82234369692	51781.66974443785	29873.6829639459	35495.444457463316	40758.96605351143	35524.45931688428	41552.266446467496	44704.420365518476	38226.97481569269	46702.59558419245	39211.95523300011	38069.51661899436	31976.579325277784	41850.77759577815	39947.46472807193	43954.79013373316	44392.21932230065	55510.95128520297	40890.96586644602	46077.27813873139	40891.72836989332	44254.602786228876	34789.72013566035	43906.93210156261	42850.14585655953	42295.41169089208	37424.29247948092	39507.47871574649	43724.707500394856	29107.893290975044	47575.19755124693	35101.1166908446
240	300	7057.6768317693795	2641.8310771696965	18585.01394527837	7939.831491756276	34784.98235135909	10114.460131067424	34458.17586078495	33781.98439783274	9147.106774738524	17176.713735604768	8978.842106262386	6598.032006087783	29641.30336061031	27385.236590287936	20837.30500504816	37909.65427300347	10665.82958541264	46306.85546875	20239.192989287665	6736.629899569546	2425.132454809951	22231.2838157205	6607.512521846468	33098.01655480334	11479.708714369794	34817.95298500905	31799.15879299462	3750.831555279831	30749.19066107858	27138.56084218745	34194.19639068791	12352.302562088715	45774.313232421875	17795.575151240533	1191.0141739141745	19.653579762349217	184.05518463128638	34651.42569491593	1703.945469918982	9830.533250820186	13.617488621178882	39636.93250064735	35841.82932952801	44330.92800258365	49317.242877893405	27216.6914560539	34442.91556088924	40413.22461254304	36040.371018511294	37028.75566132345	44165.079804456465	37367.58691345278	43618.87365940398	38732.257193213336	37113.09748727692	32714.037965774536	38304.652214543974	40618.950579425	41749.40384829275	41781.424867942376	52191.456377661176	41536.32772563523	40753.254307667725	41243.58797254522	41168.43641298952	37233.656534244554	43585.36288216996	40757.844981565264	42629.30412875777	37148.50778598718	40330.1769217584	43508.19037435237	29236.31322524394	48793.348194196646	36720.26036581859	37759.07455901203	39453.54839750179	43604.72372344038	48039.93312384377	28039.04404966423	35179.438929283584	40220.24366942306	34976.323717255305	40646.72177572339	44101.37894081607	37363.48736935395	44943.680162528275	39147.73076129962	36708.779879120026	30967.810198223113	41293.42449917062	38479.948344625904	44040.27753932715	42526.38209836713	53779.94871556028	39737.832880689515	42767.74754837041	39794.47761755521	42731.75810472614	33873.546217040035	43395.95600292693	41060.75191153816	40863.26178770859	36287.1614025603	38557.43334936066	41988.790166165694	29912.05088383515	48812.58502756755	35409.42592069552
300	360	6741.131367044026	2689.2213933421335	19107.588421219272	7234.233059954454	32953.790379676575	9798.021354045075	31605.118819049494	30752.495070128534	7797.041096045222	16757.18189263317	8397.776514608779	6729.457147031886	31076.811442597875	26319.228299743594	20367.50001543588	33107.31875705295	10475.024238692917	45684.3212890625	20478.183971558577	6357.788406427563	2250.9069705815864	20868.517039579503	6275.838613720733	31275.306575214203	10989.12160736856	33232.24834576731	29448.379892532084	3128.475855330799	30214.05176114853	26538.26697871895	33643.80424634781	12266.387018339303	43645.03759765625	17441.07627809205	940.1027604947325	13.725287857965608	175.7869268892691	33429.74244317485	1850.4445048828243	9377.046503731097	13.149632952442664	38999.611367653364	34346.4550039874	42575.09648197681	46625.18867395696	27820.806096171105	33389.5798935652	38759.99102565804	34699.52616075526	35930.41815463792	41727.953615487415	35615.258190030254	42224.79640016146	36621.698418860586	35155.15378768102	30369.806964622247	35534.57595296747	37317.49474981767	38702.27829536063	40189.992515947044	49145.9103397639	39169.92037390243	38400.83274832146	38771.580964301116	38061.65177773245	34604.014613210136	41536.82560412089	39148.9716496419	40563.0376812914	35298.10495927443	38615.435429498204	39969.16684443503	29334.980966563216	43312.67610207704	35651.90827288516	35473.919942716944	37823.049487266246	42165.616502258425	45938.105140936765	28194.28029737412	34112.585049514964	37522.34113009626	33635.42328413462	37213.86483039686	41868.83651734128	34847.379083826665	42798.77849849043	36993.76677349889	34769.33081295903	30673.73301278877	39724.198761915985	36821.076811591454	40344.71455857605	40973.70786084696	49001.46690940935	37366.84697462579	41204.62129222096	37432.85182678774	39915.83199466718	33430.21355940506	40182.930237189015	38593.973698585745	39762.22570243283	34760.42257255941	36244.37933319179	40340.24742215684	29138.84092817042	44097.45304927119	32651.560729953013
360	480	6241.837632545109	2525.9514335591884	20639.050938606262	6833.190633111092	30999.056340691834	9335.74766420468	28670.501312188397	28962.712972149617	8561.391235796735	15681.118257715672	8555.912126330393	6147.345160790316	30807.242874701024	25489.6931242381	20731.354785651325	32604.373705512153	10235.715093621535	40053.64892578125	22344.050108612282	5933.813337550398	2283.1866989404007	22491.34587949865	5875.344673805813	29225.34783641908	10617.146094549487	29587.49857426299	27011.613390211165	3522.5221309581334	30375.841803868225	25878.38709339424	30344.53681846572	10978.67153239184	40368.658935546875	17577.608130524164	1077.5925093009823	13.805401201345855	162.87461395478368	30254.21012094931	1621.062686122181	8678.072013546023	11.74548304876076	35667.74751358185	32527.19637030659	38395.07421268164	44261.48736578716	24899.446693248505	30785.77880295989	35372.899936814014	31827.637300178718	33102.02986824039	39093.27009384058	33552.18699737859	38640.0195469439	34405.251633206026	32616.889989826683	29064.538091355975	34145.03567122101	34986.929272410045	36464.0686595479	36671.56901985645	44557.308051559994	36278.70607220999	36030.908462971776	36247.872366593605	34981.45003664536	33547.53254361687	37818.082994296456	35615.98951831618	37391.13630526639	33063.70191244894	35066.32826817915	37457.92898130467	26657.381737738047	40665.605371512385	33390.53255409804	33389.318429022984	35115.42620547591	37332.454711467006	43522.33343976876	25743.226414420387	32035.76559325824	34558.277633460406	30866.158292580974	34270.036846906536	38789.41671136703	33255.946679796565	39389.67897607395	34475.904751318136	32117.357742219003	27947.05019848951	36065.46608658245	34429.579205790506	37843.267356909775	36875.84543782525	46789.0863337387	35685.44239938535	38728.20308243391	34187.243349825134	36949.86178050272	30864.44245914333	36730.67749391816	35099.80069652467	36156.921748225024	31799.056953930958	33821.50678944623	37092.06088195069	25955.59206705702	42048.05309063947	31823.738841981896
