FrameTimesStart	FrameTimesEnd	cerebellum
0	30	10.477643049357907
30	60	1190.285720813051
60	90	10670.463741149131
90	120	24246.190091081484
120	150	37293.74549641372
150	180	42104.983505594304
180	240	42728.23624069917
240	300	41749.05569922518
300	360	39727.22693237673
360	480	37008.397726809424
480	600	34183.99061282393
600	900	30034.040803068536
900	1200	26004.299409838542
1200	1500	22762.915978130986
1500	1800	20339.93592605512
1800	2100	18236.381679996157
2100	2400	16369.464660289645
2400	2700	15206.276019658828
2700	3000	14088.157508502072
3000	3300	12957.115004766372
3300	3600	12167.70670837033
3600	3900	11340.43541896414
3900	4200	11113.773896474626
4200	4500	10482.492940427537
4500	4800	9766.859291712122
4800	5100	9718.92498594355
5100	5400	9015.836335610653
