FrameTimesStart	FrameTimesEnd	cerebellum
0	30	16.619986947372993
30	60	1042.4456252741609
60	90	9219.644987183518
90	120	21031.04589063821
120	150	32400.91910804364
150	180	36574.64372258304
180	240	37185.32615613589
240	300	36377.930118147306
300	360	34656.352633145834
360	480	32322.84395975524
480	600	29959.57864456624
600	900	26445.529320729587
900	1200	23005.255705145788
1200	1500	20240.529005701494
1500	1800	18197.55310554393
1800	2100	16385.73791399828
2100	2400	14794.35726602972
2400	2700	13762.617110701582
2700	3000	12818.394095578828
3000	3300	11831.884909542987
3300	3600	11148.63909783219
3600	3900	10444.395279630558
3900	4200	10199.380682187068
4200	4500	9696.183206411593
4500	4800	9073.483789956608
4800	5100	8995.067265067808
5100	5400	8355.553721968929
