FrameTimesStart	FrameTimesEnd	neocortex
0	30	11.278678730651924
30	60	1254.198485779068
60	90	9402.430173990264
90	120	20793.91085771073
120	150	31769.040586295378
150	180	34912.17285528072
180	240	35170.13560340115
240	300	34310.32789218163
300	360	32680.95770442205
360	480	30410.802480343467
480	600	27825.67350526738
600	900	24719.028208628206
900	1200	21559.76044272709
1200	1500	19266.632993221174
1500	1800	17472.75129228394
1800	2100	15945.837295179723
2100	2400	14763.953382077263
2400	2700	13835.12518981106
2700	3000	12993.309600227898
3000	3300	12270.839474323155
3300	3600	11618.793057860727
3600	3900	11160.544060399845
3900	4200	10654.421482126589
4200	4500	10279.327541837383
4500	4800	10023.017799789744
4800	5100	9596.488998715975
5100	5400	9372.364485492611
